N	2865:22206	Inspector · MOTION · one section	FRAME	1360,48973,300,812	true	NONE	26	true
K	2865:22207	TEXT	1376,48991,180,14	true		MOTION
K	2865:22208	TEXT	1624,48991,20,14	true		2
K	2865:22209	RECTANGLE	1360,49021,300,1	true		Rectangle
K	2865:22210	TEXT	1376,49028,150,16	true		👆 On Hover
K	2865:22211	TEXT	1376,49045,150,14	true		Fade In Up · Entrances
K	2865:22212	TEXT	1596,49035,48,16	true		▶ ✕
K	2865:22213	RECTANGLE	1556,49037,32,16	true		Rectangle
K	2865:22214	RECTANGLE	1360,49069,300,1	true		Rectangle
K	2865:22215	TEXT	1376,49076,150,32	true		👁 When it scrolls into view
K	2865:22216	TEXT	1376,49093,150,14	true		Slide In Up · Entrances
K	2865:22217	TEXT	1596,49083,48,16	true		▶ ✕
K	2865:22218	RECTANGLE	1556,49085,32,16	true		Rectangle
K	2865:22219	RECTANGLE	1360,49117,300,1	true		Rectangle
K	2865:22220	RECTANGLE	1376,49129,268,32	true		Rectangle
K	2865:22221	TEXT	1376,49137,268,16	false		+ Add interaction
K	2865:22222	RECTANGLE	1360,49181,300,1	false		Rectangle
K	2865:22223	TEXT	1376,49193,268,14	false		WHAT THIS SURFACE CANNOT DO
K	2865:22224	TEXT	1376,49211,268,105	false		Nothing animates on the editor canvas — the runtime's only starter, Composer.setPreviewMod
K	2865:22225	RECTANGLE	1366,49127,288,36	false		hotspot/+ Add interaction
K	2865:22226	RECTANGLE	1368,49020,166,32	false		hotspot/open interaction · On Hover
K	2866:21826	TEXT	1376,49173,268,14	true		section/Triggers
K	2866:21827	TEXT	1376,49197,268,56	true		note/Triggers
K	2866:21828	TEXT	1376,49273,268,14	true		section/Presets
K	2866:21829	TEXT	1376,49297,268,84	true		note/Presets
K	2866:21830	TEXT	1376,49389,268,56	true		note/Undo
K	2866:21831	TEXT	1376,49453,268,168	true		note/18 duplicates
C	2865:22206	texts=17
T	2866:21831	1376,49453,268,168	11	Regular	true	HEIGHT	Inspector · MOTION · one section	18 preset labels are identical across the two lists, not 16 — Bounce, Fade In, Fade In Dow
T	2866:21830	1376,49389,268,56	11	Regular	true	HEIGHT	Inspector · MOTION · one section	Delete an interaction → toast with Undo, matching the element delete's own promise (Delete
T	2866:21829	1376,49297,268,84	11	Regular	true	HEIGHT	Inspector · MOTION · one section	Entrances · Exits · Emphasis · Attention · Motion paths · Transforms — the six families th
T	2866:21828	1376,49273,268,14	11	Semi Bold	true	HEIGHT	Inspector · MOTION · one section	PRESETS — SIX GROUPS, NOT A FLAT LIST
T	2866:21827	1376,49197,268,56	11	Regular	true	HEIGHT	Inspector · MOTION · one section	On click · On hover · When it scrolls into view · On page load — each with a one-line desc
T	2866:21826	1376,49173,268,14	11	Semi Bold	true	HEIGHT	Inspector · MOTION · one section	TRIGGERS THAT APPLY TO THIS ELEMENT
T	2865:22224	1376,49211,268,105	11	Regular	false	HEIGHT	Inspector · MOTION · one section	Nothing animates on the editor canvas — the runtime's only starter, Composer.setPreviewMod
T	2865:22223	1376,49193,268,14	11	Semi Bold	false	HEIGHT	Inspector · MOTION · one section	WHAT THIS SURFACE CANNOT DO
T	2865:22221	1376,49137,268,16	12	Semi Bold	false	HEIGHT	Inspector · MOTION · one section	+  Add interaction
T	2865:22217	1596,49083,48,16	12	Regular	true	HEIGHT	Inspector · MOTION · one section	▶     ✕
T	2865:22216	1376,49093,150,14	11	Regular	true	HEIGHT	Inspector · MOTION · one section	Slide In Up · Entrances
T	2865:22215	1376,49076,150,32	12	Semi Bold	true	HEIGHT	Inspector · MOTION · one section	👁 When it scrolls into view
T	2865:22212	1596,49035,48,16	12	Regular	true	HEIGHT	Inspector · MOTION · one section	▶     ✕
T	2865:22211	1376,49045,150,14	11	Regular	true	HEIGHT	Inspector · MOTION · one section	Fade In Up · Entrances
T	2865:22210	1376,49028,150,16	12	Semi Bold	true	HEIGHT	Inspector · MOTION · one section	👆  On Hover
T	2865:22208	1624,48991,20,14	11	Semi Bold	true	HEIGHT	Inspector · MOTION · one section	2
T	2865:22207	1376,48991,180,14	11	Semi Bold	true	HEIGHT	Inspector · MOTION · one section	MOTION
R	2865:22226	2430:11996	NAVIGATE	hotspot/open interaction · On Hover
R	2865:22225	2430:11959	NAVIGATE	hotspot/+ Add interaction
N	2898:12617	Pages · tree · drag · drop indicator (of 140:2)	FRAME	2500,15970,280,812	true	VERTICAL	38	true
K	2898:12618	INSTANCE	2500,15970,280,44	true	false	Panel header
K	2898:12619	FRAME	2500,16014,280,36	true	true	Search
K	2898:12625	FRAME	2500,16050,280,32	true	true	Row · Marketing
K	2898:12631	FRAME	2500,16082,280,32	true	true	Row · Home
K	2898:12636	FRAME	2500,16114,280,32	true	true	Row · Menu
K	2898:12639	FRAME	2500,16146,280,32	true	true	Row · Contact
K	2898:12643	FRAME	2500,16178,280,32	true	true	Row · Legal
K	2898:12649	FRAME	2500,16210,280,32	true	true	Row · About
K	2898:12653	FRAME	2500,16242,280,129	true	true	spacer
K	2898:12654	FRAME	2500,16371,280,36	true	true	Add page
K	2898:12656	FRAME	2500,16748,150,34	true	true	hotspot/state · S3.7 · page-settings · SEO
K	2898:12657	FRAME	2500,16712,160,34	true	false	hotspot/state · Pages · loading
K	2898:12658	FRAME	2620,16712,160,34	true	false	hotspot/state · Pages · no-results
K	2898:12659	FRAME	2500,16407,36,36	true	true	hotspot/back · to editor
K	2898:12660	FRAME	2500,16443,140,28	true	false	hotspot/return · publish readiness
K	2898:12661	FRAME	2500,16744,280,34	true	false	hotspot/state · Pages · context-menu
K	2898:12662	FRAME	2500,16744,280,34	true	false	hotspot/state · Pages · command-palette
K	2898:12663	FRAME	2670,16676,110,34	true	true	hotspot/state · Pages · bulk-select
K	2898:12664	FRAME	2500,16642,140,34	true	true	hotspot/state · Pages · empty
K	2898:12665	FRAME	2640,16642,140,34	true	true	hotspot/state · Pages · load-error
K	2898:12666	FRAME	2500,16726,150,28	true	false	hotspot/state · page-settings · save-failed
K	2898:12668	FRAME	2630,16754,150,28	true	false	hotspot/state · page-settings · crash
K	2898:12670	FRAME	2630,16754,150,28	true	false	hotspot/state · rename · name-conflict
K	2898:12672	RECTANGLE	2695,16018,81,27	true		hotspot/state · Pages · structure
K	2898:12673	TEXT	2500,16471,248,13	true		note/folders-are-local
K	2898:12674	RECTANGLE	2500,16484,280,1	true		rule/generated-top
K	2898:12675	TEXT	2500,16485,89,20	true		grp/from-blog
K	2898:12676	TEXT	2500,16505,14,16	true		grp/from-blog-count
K	2898:12677	TEXT	2500,16521,228,26	true		grp/from-blog-sub
K	2898:12678	RECTANGLE	2500,16547,280,1	true		rule/generated-end
C	2898:12617	texts=36
T	2898:12692	2522,16558,138,12	10	Medium	false	HEIGHT	hotspot/state · Pages · rename-url-offer	Pages · rename · URL offer
T	2898:12690	2522,16522,138,12	10	Medium	false	HEIGHT	hotspot/state · Pages · bulk-toast	Pages · bulk · one toast
T	2898:12688	2522,16486,138,12	10	Medium	false	HEIGHT	hotspot/state · Pages · local-only	Pages · local-only
T	2898:12686	2522,16450,138,12	10	Medium	false	HEIGHT	hotspot/state · Pages · home-by-position	Pages · home by position
T	2898:12684	2522,16414,138,12	10	Medium	false	HEIGHT	hotspot/state · Pages · drag	Pages · drag
T	2898:12682	2522,16378,138,12	10	Medium	false	HEIGHT	hotspot/state · Pages · delete-confirm	Pages · delete-confirm
T	2898:12680	2500,16665,248,117	11	Regular	true	HEIGHT	Pages · tree · drag · drop indicator (of 140:2)	UX-B-32 — Pages owns the per-page fact ('show in nav') and the visibility of which pages n
