B	1333:7162	FRAME	100,44144,280,812	#FFFFFF	FIXED/FIXED	VERTICAL	true	Brand · root — NEW 2026-08-27 (CURRENT) — [not-implemented] 	kids=30
  K	1627:7162	INSTANCE	100,44144,280,44	#FFFFFF	FILL/FIXED	HORIZONTAL	true	Panel header
  K	1747:8390	FRAME	100,44188,280,56	#F9FAFB	FIXED/FIXED	NONE	true	strip/Brand & shared theme
  K	1747:8395	FRAME	100,44244,280,40	none	FIXED/FIXED	NONE	true	DSModeToggle
  K	1334:7162	FRAME	100,44188,280,44	none	FIXED/FIXED	HORIZONTAL	false	Panel header — hand-drawn, replaced by a 16:6 instance 2026-
  K	1334:7164	FRAME	100,44284,280,82	none	FILL/FIXED	VERTICAL	true	Brand preview (NEW)
  K	1334:7176	FRAME	100,44366,280,52	none	FILL/FIXED	HORIZONTAL	true	List row · Tokens
  K	1334:7182	FRAME	100,44418,280,52	none	FILL/FIXED	HORIZONTAL	true	List row · Presets
  K	1334:7188	FRAME	100,44470,280,52	none	FILL/FIXED	HORIZONTAL	true	List row · Starters
  K	1334:7194	FRAME	100,44522,280,52	none	FILL/FIXED	HORIZONTAL	true	List row · Classes
  K	1334:7199	FRAME	100,44574,280,52	none	FILL/FIXED	HORIZONTAL	true	List row · Components
  K	1334:7204	FRAME	100,44626,280,52	none	FILL/FIXED	HORIZONTAL	true	List row · Typography
  K	1334:7209	FRAME	100,44678,280,52	none	FILL/FIXED	HORIZONTAL	true	List row · Colour mode
  K	1334:7214	FRAME	100,44730,280,52	none	FILL/FIXED	HORIZONTAL	true	List row · Lint
  K	1334:7220	FRAME	100,44782,280,52	none	FILL/FIXED	HORIZONTAL	true	List row · Import / export
  K	1670:7195	FRAME	100,44366,280,52	#000000@0	FIXED/FIXED/ABS	NONE	true	hotspot/row · Tokens
  K	1670:7197	FRAME	100,44418,280,52	#000000@0	FIXED/FIXED/ABS	NONE	true	hotspot/row · Presets
  K	1670:7199	FRAME	100,44470,280,52	#000000@0	FIXED/FIXED/ABS	NONE	true	hotspot/row · Starters
  K	1670:7201	FRAME	100,44522,280,52	#000000@0	FIXED/FIXED/ABS	NONE	true	hotspot/row · Classes
  K	1670:7203	FRAME	100,44574,280,52	#000000@0	FIXED/FIXED/ABS	NONE	true	hotspot/row · Components
  K	1670:7205	FRAME	100,44626,280,52	#000000@0	FIXED/FIXED/ABS	NONE	true	hotspot/row · Typography
  K	1670:7207	FRAME	100,44678,280,52	#000000@0	FIXED/FIXED/ABS	NONE	true	hotspot/row · Colour mode
  K	1670:7209	FRAME	100,44730,280,52	#000000@0	FIXED/FIXED/ABS	NONE	true	hotspot/row · Lint
  K	1670:7211	FRAME	100,44782,280,52	#000000@0	FIXED/FIXED/ABS	NONE	true	hotspot/row · Import / export
  K	1670:7247	FRAME	100,44188,140,36	#000000@0	FIXED/FIXED/ABS	NONE	true	hotspot/state · Brand · pro-locked (Beginner)
  K	1672:7225	FRAME	240,44188,140,36	#000000@0	FIXED/FIXED/ABS	NONE	true	hotspot/state · Brand · lint-warnings
  K	1720:17207	FRAME	100,44870,150,28	#F3F4F6	FIXED/FIXED/ABS	NONE	true	hotspot/state · Brand · loading
  K	1720:17210	FRAME	100,44898,150,28	#F3F4F6	FIXED/FIXED/ABS	NONE	true	hotspot/state · Brand · load-error
  K	1720:17446	FRAME	100,44926,150,28	#F3F4F6	FIXED/FIXED/ABS	NONE	true	hotspot/state · AI prompt · idle
  K	1748:8390	FRAME	100,44834,280,32	#F9FAFB	FIXED/FIXED	NONE	true	footer · clean
  K	1751:8403	FRAME	340,44376,8,8	#8E4B10	FIXED/FIXED/ABS	NONE	true	dirty-dot
END	pairs=0	boards=1
