B	2844:12121	FRAME	3220,6200,1440,320	#FFFFFF	FIXED/FIXED	NONE	true	Topbar · location line — site › page › panel — UX-F-36 and U	kids=13
  K	2844:12122	RECTANGLE	3220,6216,1440,56	#FFFFFF	FIXED/FIXED		true	rect
  K	2844:12123	TEXT	3236,6236,180,20	#4B5563	FIXED/FIXED		true	‹ Exit to dashboard
  K	2844:12124	RECTANGLE	3428,6228,1,32	#E5E7EB	FIXED/FIXED		true	rect
  K	2844:12125	TEXT	3448,6236,420,20	#111827	FIXED/FIXED		true	Bella Cucina  ›  Home  ›  In
  K	2844:12126	TEXT	3236,6296,180,16	#6B7280	FIXED/FIXED		true	on canvas
  K	2844:12127	TEXT	3448,6296,600,20	#111827	FIXED/FIXED		true	Bella Cucina  ›  Home  ›  In
  K	2844:12128	TEXT	3236,6328,180,16	#6B7280	FIXED/FIXED		true	in full-page mode
  K	2844:12129	TEXT	3448,6328,600,20	#111827	FIXED/FIXED		true	Bella Cucina  ›  —  ›  Setti
  K	2844:12130	TEXT	3236,6360,180,16	#6B7280	FIXED/FIXED		true	in preview
  K	2844:12131	TEXT	3448,6360,600,20	#111827	FIXED/FIXED		true	Bella Cucina  ›  Home  ›  Pr
  K	2844:12132	TEXT	3236,6404,1408,16	#6B7280	FIXED/FIXED		true	No surface states site / pag
  K	2844:12133	TEXT	3236,6444,1408,16	#6B7280	FIXED/FIXED		true	The canvas breadcrumb (board
  K	2844:12134	TEXT	3236,6476,1408,16	#6B7280	FIXED/FIXED		true	Two tab strips, two names: t
B	2844:12136	FRAME	4780,6200,1440,320	#FFFFFF	FIXED/FIXED	NONE	true	Shell · full-page mode — Back to canvas — UX-F-13: full-page	kids=11
  K	2844:12137	RECTANGLE	4780,6216,1440,56	#FFFFFF	FIXED/FIXED		true	rect
  K	2844:12138	RECTANGLE	4796,6228,160,32	#F3F4F6	FIXED/FIXED		true	rect
  K	2844:12139	TEXT	4796,6236,160,20	#111827	FIXED/FIXED		true	‹ Back to canvas
  K	2844:12140	TEXT	4980,6236,480,20	#111827	FIXED/FIXED		true	Bella Cucina  ›  —  ›  Setti
  K	2844:12141	RECTANGLE	4780,6272,1440,152	#FFFFFF	FIXED/FIXED		true	rect
  K	2844:12142	RECTANGLE	4780,6272,60,152	#F3F4F6	FIXED/FIXED		true	rect
  K	2844:12143	TEXT	4784,6280,52,48	#6B7280	FIXED/FIXED		true	rail
nothing
lit
  K	2844:12144	TEXT	4864,6304,1200,16	#4B5563	FIXED/FIXED		true	Settings — full page. The ca
  K	2844:12145	TEXT	4864,6352,1200,16	#4B5563	FIXED/FIXED		true	After the More index, Settin
  K	2844:12146	TEXT	4796,6444,1408,16	#6B7280	FIXED/FIXED		true	There is no shell-level way 
  K	2844:12147	TEXT	4796,6484,1408,16	#6B7280	FIXED/FIXED		true	Media library in library mod
END	pairs=0	boards=2
