B	2430:21397	FRAME	3256,21866,280,44	none	FILL/FIXED	NONE	true	Footer	kids=8
  K	2430:21398	TEXT	3272,21880,64,20	#1A56DB	FIXED/FIXED		true	↑ Upload
  K	2430:21399	TEXT	3345,21880,64,20	#1A56DB	FIXED/FIXED		true	☁ Stock
  K	2430:21400	TEXT	3408,21880,51,16	#1A56DB	FIXED/FIXED		true	⬡ Icons
  K	2838:12064	TEXT	3469,21880,50,40	#1A56DB	FIXED/FIXED		true	Aa Fonts
  K	2838:12065	TEXT	3272,21910,185,100	#1A56DB	FIXED/FIXED		true	note/formats
  K	2838:12066	TEXT	3272,21956,248,40	#1A56DB	FIXED/FIXED		true	note/where-it-lives
  K	2865:21918	RECTANGLE	3339,21874,76,32	none	FIXED/FIXED		true	hotspot/footer · ☁ Stock
  K	2865:21922	RECTANGLE	3402,21874,63,28	none	FIXED/FIXED		true	hotspot/footer · ⬡ Icons
B	1339:7166	FRAME	1920,92765,440,583	#FFFFFF	FIXED/FIXED	NONE	true	Card	kids=7
  K	1339:7167	TEXT	1944,92789,392,24	#111827	FIXED/FIXED		true	Bella Cucina is ready for you to look at
  K	1339:7168	TEXT	1944,92821,392,48	#4B5563	FIXED/FIXED		true	Before you start, tell us who you are. This goes on your com
  K	1339:7169	FRAME	1944,93081,392,40	#1A56DB	FIXED/FIXED	NONE	true	CTA
  K	2563:11972	TEXT	1944,92893,392,15	#4B5563	FIXED/FIXED		true	a0/Your name
  K	2563:11973	RECTANGLE	1944,92913,392,42	#FFFFFF	FIXED/FIXED		true	a0/input
  K	2563:11974	TEXT	1944,92971,392,15	#4B5563	FIXED/FIXED		true	a0/The email this lin
  K	2563:11975	RECTANGLE	1944,92991,392,42	#FFFFFF	FIXED/FIXED		true	a0/input
END	pairs=0	boards=2
