B	2430:21365	FRAME	3256,21134,280,812	#FFFFFF	FIXED/FIXED	VERTICAL	true	[not-implemented] Media · local-only assets — the localOnly 	kids=15
  K	2430:21366	INSTANCE	3256,21134,280,44	#FFFFFF	FILL/FIXED	HORIZONTAL	true	Panel header
  K	2430:21367	FRAME	3256,21178,280,36	none	FILL/FIXED	NONE	true	Search
  K	2430:21370	FRAME	3256,21214,280,32	none	FILL/FIXED	NONE	true	Folder row
  K	2430:21373	FRAME	3256,21246,280,60	none	FILL/HUG	HORIZONTAL	true	Type pills
  K	2430:21541	FRAME	3256,21306,280,36	#FDFDEA	FIXED/FIXED	NONE	true	lo/strip
  K	2430:21386	FRAME	3256,21342,280,248	none	FILL/HUG	VERTICAL	true	Asset grid
  K	2430:21393	FRAME	3256,21590,280,36	none	FIXED/FIXED	NONE	true	Load more
  K	2430:21396	FRAME	3256,21626,280,240	none	FILL/FILL	NONE	true	spacer
  K	2430:21397	FRAME	3256,21866,280,44	none	FILL/FIXED	NONE	true	Footer
  K	2430:21408	FRAME	3256,21910,36,36	#000000@0	FIXED/FIXED	NONE	true	hotspot/back · to editor
  K	2430:21543	RECTANGLE	3280,21434,84,16	#FDFDEA	FIXED/FIXED/ABS		true	lo/badge
  K	2430:21544	TEXT	3286,21436,76,12	#723B13	FIXED/FIXED/ABS		true	lo/badge-text
  K	2430:21545	RECTANGLE	3408,21434,84,16	#FDFDEA	FIXED/FIXED/ABS		true	lo/badge
  K	2430:21546	TEXT	3414,21436,76,12	#723B13	FIXED/FIXED/ABS		true	lo/badge-text
  K	2430:21547	TEXT	3268,21604,256,165	#6B7280	FIXED/FIXED/ABS		true	lo/note
END	pairs=0	boards=1
