B	2844:12025	FRAME	100,6200,240,320	#FFFFFF	FIXED/FIXED	NONE	true	Rail · More index (popover · 240) — UX-F-31 · UX-F-01 · UX-F		kids=19
  K	2844:12026	RECTANGLE	100,6200,240,320	#FFFFFF	FIXED/FIXED		true	rect	
  K	2844:12027	TEXT	116,6212,208,20	#111827	FIXED/FIXED		true	More	
  K	2844:12028	TEXT	116,6240,208,16	#6B7280	FIXED/FIXED		true	BUILD	
  K	2844:12029	TEXT	116,6260,150,20	#111827	FIXED/FIXED		true	Templates	
  K	2844:12030	TEXT	280,6260,44,16	#6B7280	FIXED/FIXED		true	T	
  K	2844:12031	TEXT	116,6288,150,20	#111827	FIXED/FIXED		true	Components	
  K	2844:12032	TEXT	280,6288,44,16	#6B7280	FIXED/FIXED		true	⇧A	
  K	2844:12033	TEXT	116,6320,208,16	#6B7280	FIXED/FIXED		true	SHIP	
  K	2844:12034	TEXT	116,6340,150,20	#111827	FIXED/FIXED		true	Publish	
  K	2844:12035	TEXT	280,6340,44,16	#6B7280	FIXED/FIXED		true	U	
  K	2844:12036	TEXT	116,6368,150,20	#111827	FIXED/FIXED		true	History	
  K	2844:12037	TEXT	280,6368,44,16	#6B7280	FIXED/FIXED		true	H	
  K	2844:12038	TEXT	116,6396,150,20	#111827	FIXED/FIXED		true	Review	
  K	2844:12039	TEXT	280,6396,44,16	#6B7280	FIXED/FIXED		true	R	
  K	2844:12040	TEXT	116,6424,208,16	#6B7280	FIXED/FIXED		true	CONFIGURE	
  K	2844:12041	TEXT	116,6444,150,20	#111827	FIXED/FIXED		true	Settings	
  K	2844:12042	TEXT	280,6444,44,16	#6B7280	FIXED/FIXED		true	S	
  K	2844:12043	RECTANGLE	116,6476,208,1	#E5E7EB	FIXED/FIXED		true	rect	
  K	2844:12044	TEXT	116,6484,208,32	#6B7280	FIXED/FIXED		true	Bare letters — no modifier. 	
END	pairs=0	boards=1
