B	1776:8377	SECTION	0,15750,4520,4432	#FFFFFF			true	04 · Pages · 33 — expanded drawer drawn at 700 (LeftSidebar.	kids=33
  K	140:2	FRAME	100,15970,280,812	#FFFFFF	FIXED/FIXED	VERTICAL	true	Pages · tree
  K	141:2	FRAME	1700,15970,280,812	#FFFFFF	FIXED/FIXED	VERTICAL	true	Pages · folders-collapsed
  K	141:40	FRAME	1700,17198,280,812	#FFFFFF	FIXED/FIXED	VERTICAL	true	Pages · searching
  K	141:78	FRAME	500,15970,280,812	#FFFFFF	FIXED/FIXED	VERTICAL	true	Pages · bulk-select
  K	141:124	FRAME	100,17198,280,812	#FFFFFF	FIXED/FIXED	VERTICAL	true	Pages · one-page
  K	141:165	FRAME	100,18238,280,812	#FFFFFF	FIXED/FIXED	VERTICAL	true	Pages · load-error
  K	141:207	FRAME	2100,15970,280,812	#FFFFFF	FIXED/FIXED	VERTICAL	true	Pages · listings
  K	435:2348	FRAME	500,17198,1120,1086	#FFFFFF	HUG/HUG	VERTICAL	true	Pages · page tab bar (code: PageTabBar.tsx)
  K	774:4044	FRAME	2900,17198,280,812	#FFFFFF	FIXED/FIXED	VERTICAL	true	Pages · loading
  K	782:4212	FRAME	2500,17198,280,812	#FFFFFF	FIXED/FIXED	VERTICAL	true	Pages · no-results
  K	1171:4713	FRAME	1300,15970,280,812	#FFFFFF	FIXED/FIXED	VERTICAL	true	Pages · context-menu
  K	1171:4767	FRAME	900,15970,280,812	#FFFFFF	FIXED/FIXED	VERTICAL	true	Pages · command-palette (⌘K)
  K	1717:17217	FRAME	100,19485,280,320	#FFFFFF	FIXED/FIXED	NONE	true	Pages · rename · name-conflict
  K	155:18	TEXT	100,16802,280,162	#6B7280	FIXED/FIXED		true	caption/Pages · tree
  K	155:19	TEXT	1700,16802,280,36	#6B7280	FIXED/FIXED		true	caption/Pages · folders-collapsed
  K	155:20	TEXT	1700,18030,280,36	#6B7280	FIXED/FIXED		true	caption/Pages · searching
  K	155:21	TEXT	500,16802,280,108	#6B7280	FIXED/FIXED		true	caption/Pages · bulk-select
  K	155:22	TEXT	100,18030,280,18	#6B7280	FIXED/FIXED		true	caption/Pages · one-page
  K	155:23	TEXT	100,19070,280,54	#6B7280	FIXED/FIXED		true	caption/Pages · load-error
  K	155:24	TEXT	2100,16802,280,108	#6B7280	FIXED/FIXED		true	caption/Pages · listings
  K	788:4301	TEXT	2900,18030,280,54	#6B7280	FIXED/FIXED		true	caption/Pages · loading
  K	788:4302	TEXT	2500,18030,280,36	#6B7280	FIXED/FIXED		true	caption/Pages · no-results
  K	1171:4820	FRAME	100,19925,440,117	#FFFFFF	FIXED/HUG	VERTICAL	true	Pages · settings · unsaved-warning (modal)
  K	1706:8505	FRAME	800,19244,580,121	#FFFFFF	FIXED/FIXED	NONE	true	Modal · page-settings · save-failed
  K	1706:8509	FRAME	100,19244,580,116	#FFFFFF	FIXED/FIXED	NONE	true	Modal · page-settings · crash
  K	2430:12214	FRAME	2100,17198,280,812	#FFFFFF	FIXED/FIXED	VERTICAL	true	Pages · structure
  K	2894:12614	TEXT	100,16976,280,198	#6B7280	FIXED/FIXED		true	caption/UX-B-31 · there is no recently-deleted
  K	2898:12617	FRAME	2500,15970,280,812	#FFFFFF	FIXED/FIXED	VERTICAL	true	Pages · tree · drag · drop indicator (of 140:2)
  K	2898:21981	FRAME	2800,15970,280,812	#FFFFFF	FIXED/FIXED	VERTICAL	true	Pages · tree · homepage by position (of 140:2)
  K	2898:22066	FRAME	3100,15970,280,812	#FFFFFF	FIXED/FIXED	VERTICAL	true	Pages · local-only · project load failed (of 141:124)
END	pairs=0	boards=1
