B	638:2613	FRAME	6340,101483,1440,32	#FFFFFF	FILL/FIXED	HORIZONTAL	true	Footer	kids=4
  K	638:2614	TEXT	6356,101491,74,16	#6B7280	FIXED/FIXED		false	Section · Hero
  K	638:2615	TEXT	6356,101491,55,16	#6B7280	FIXED/FIXED		false	680 × 250
  K	638:2616	FRAME	6356,101495,1408,8	none	FILL/FIXED	NONE	true	Frame
  K	638:2617	TEXT	7683,101491,81,16	#6B7280	FIXED/FIXED		false	Desktop · 100%
B	638:2378	FRAME	6340,100615,1440,900	#F3F4F6	FIXED/FIXED	VERTICAL	true	S7 · Settings · General	kids=5
  K	682:5201	INSTANCE	6340,100615,1440,56	#FFFFFF	FILL/FIXED	HORIZONTAL	true	Topbar
  K	638:2397	FRAME	6340,100671,1440,812	none	FILL/FIXED	HORIZONTAL	true	Middle band
  K	638:2613	FRAME	6340,101483,1440,32	#FFFFFF	FILL/FIXED	HORIZONTAL	true	Footer
  K	915:6884	FRAME	6340,101487,140,28	none	FIXED/FIXED/ABS	NONE	true	hotspot/return · publish readiness
  K	1688:16207	FRAME	6340,101435,200,34	#000000@0	FIXED/FIXED/ABS	NONE	true	hotspot/back · S7 · Settings · root
END	pairs=0	boards=2
